year,day,datetm,min,ws_25,wd_25,tp_25,ws_50,wd_50,tp_50
2010,1,2010-1-1 00:00:00,0,1.012,268.4,24.61,1.08,342.3,24.99
2010,1,2010-1-1 00:10:00,10,1.1079999999999999,292.2,24.73,1.126,329.8,24.95
2010,1,2010-1-1 00:20:00,20,1.473,296.9,24.87,1.636,313.6,24.89
2010,1,2010-1-1 00:30:00,30,0.977,296.7,25.08,0.883,306.0,24.87
2010,1,2010-1-1 00:40:00,40,0.57,321.5,24.96,0.523,308.8,24.8
2010,1,2010-1-1 00:50:00,50,0.149,314.3,24.96,0.34700000000000003,308.9,24.83
2010,1,2010-1-1 01:00:00,60,0.077,320.7,24.77,0.506,338.5,24.74
2010,1,2010-1-1 01:10:00,70,1.1179999999999999,349.0,24.73,1.3430000000000002,345.9,24.7
2010,1,2010-1-1 01:20:00,80,1.807,330.0,24.89,2.2569999999999997,322.4,24.78
2010,1,2010-1-1 01:30:00,90,1.8619999999999999,330.2,24.88,2.225,314.1,24.83
2010,1,2010-1-1 01:40:00,100,1.7890000000000001,321.5,24.86,2.379,303.3,24.96
2010,1,2010-1-1 01:50:00,110,1.544,325.8,24.83,2.242,302.4,25.14
2010,1,2010-1-1 02:00:00,120,1.266,320.2,24.79,2.1630000000000003,294.4,25.06
2010,1,2010-1-1 02:10:00,130,1.247,322.0,24.49,2.3209999999999997,289.1,25.07
2010,1,2010-1-1 02:20:00,140,1.534,310.0,24.72,2.779,284.6,25.38
2010,1,2010-1-1 02:30:00,150,1.018,287.8,24.85,2.318,271.8,25.47
2010,1,2010-1-1 02:40:00,160,0.9690000000000001,263.9,24.62,1.81,263.5,25.03
2010,1,2010-1-1 02:50:00,170,0.6779999999999999,237.5,24.42,1.631,252.8,24.79
2010,1,2010-1-1 03:00:00,180,0.8029999999999999,230.7,24.31,1.66,250.0,24.82
2010,1,2010-1-1 03:10:00,190,1.1079999999999999,226.5,23.98,2.156,235.0,24.59
2010,1,2010-1-1 03:20:00,200,0.436,239.6,24.0,1.511,231.4,24.45
2010,1,2010-1-1 03:30:00,210,0.226,157.5,23.8,0.905,200.7,24.09
2010,1,2010-1-1 03:40:00,220,0.564,159.3,23.71,1.247,190.7,23.81
2010,1,2010-1-1 03:50:00,230,0.5710000000000001,168.1,23.7,1.3559999999999999,205.0,23.85
2010,1,2010-1-1 04:00:00,240,-0.016,153.6,23.66,0.619,197.9,23.9
2010,1,2010-1-1 04:10:00,250,0.469,113.8,23.7,0.899,148.1,23.97
2010,1,2010-1-1 04:20:00,260,1.2919999999999998,107.8,23.91,1.594,115.9,24.03
2010,1,2010-1-1 04:30:00,270,2.138,110.1,23.83,2.6,108.6,23.69
2010,1,2010-1-1 04:40:00,280,2.9210000000000003,110.1,23.73,3.557,106.2,23.46
2010,1,2010-1-1 04:50:00,290,2.303,107.7,23.61,3.0810000000000004,105.3,23.76
2010,1,2010-1-1 05:00:00,300,2.291,117.4,23.71,3.372,113.5,23.82
2010,1,2010-1-1 05:10:00,310,2.218,122.1,23.99,3.326,115.3,23.93
2010,1,2010-1-1 05:20:00,320,2.222,125.5,24.0,3.2880000000000003,121.9,23.86
2010,1,2010-1-1 05:30:00,330,2.61,134.4,24.07,3.575,130.0,23.86
2010,1,2010-1-1 05:40:00,340,2.28,124.4,23.94,3.32,121.6,23.72
2010,1,2010-1-1 05:50:00,350,2.314,128.1,23.87,3.344,123.5,23.65
2010,1,2010-1-1 06:00:00,360,2.17,129.2,23.8,3.361,122.7,23.63
2010,1,2010-1-1 06:10:00,370,2.441,135.2,23.76,3.4410000000000003,129.3,23.59
2010,1,2010-1-1 06:20:00,380,3.255,136.7,23.74,4.287,130.6,23.53
2010,1,2010-1-1 06:30:00,390,2.573,126.3,23.49,3.763,122.5,23.36
2010,1,2010-1-1 06:40:00,400,1.973,133.7,23.36,3.468,125.4,23.26
2010,1,2010-1-1 06:50:00,410,1.739,150.3,23.32,2.908,135.6,23.15
2010,1,2010-1-1 07:00:00,420,1.63,160.8,23.28,2.614,143.6,23.12
2010,1,2010-1-1 07:10:00,430,1.6480000000000001,172.9,23.21,2.608,154.3,23.04
2010,1,2010-1-1 07:20:00,440,1.7,151.2,23.18,2.7910000000000004,141.1,23.04
2010,1,2010-1-1 07:30:00,450,1.777,139.9,23.28,2.758,136.6,23.06
2010,1,2010-1-1 07:40:00,460,1.125,150.6,23.16,1.909,138.5,22.87
2010,1,2010-1-1 07:50:00,470,1.462,156.4,23.06,2.335,142.9,22.77
2010,1,2010-1-1 08:00:00,480,1.8259999999999998,138.5,23.03,2.657,129.1,22.79
2010,1,2010-1-1 08:10:00,490,1.315,143.4,22.98,2.49,133.2,22.83
2010,1,2010-1-1 08:20:00,500,1.2790000000000001,145.5,22.92,2.787,135.1,22.83
2010,1,2010-1-1 08:30:00,510,1.621,140.6,22.96,2.6489999999999996,131.6,22.79
2010,1,2010-1-1 08:40:00,520,1.577,124.6,22.98,2.605,120.2,22.79
2010,1,2010-1-1 08:50:00,530,2.19,125.6,23.1,2.847,117.0,22.85
2010,1,2010-1-1 09:00:00,540,2.395,121.6,23.11,3.3489999999999998,113.6,22.89
2010,1,2010-1-1 09:10:00,550,1.7890000000000001,120.4,23.13,2.9819999999999998,114.5,22.87
2010,1,2010-1-1 09:20:00,560,1.899,134.4,23.27,2.748,123.8,22.88
2010,1,2010-1-1 09:30:00,570,2.025,129.1,23.29,2.63,120.4,22.87
2010,1,2010-1-1 09:40:00,580,1.764,119.6,23.38,2.119,112.0,22.91
2010,1,2010-1-1 09:50:00,590,2.0180000000000002,101.6,23.51,2.63,94.9,23.05
2010,1,2010-1-1 10:00:00,600,3.446,89.7,23.61,4.191,87.2,23.14
2010,1,2010-1-1 10:10:00,610,4.021,85.2,23.47,4.736000000000001,81.5,22.97
2010,1,2010-1-1 10:20:00,620,4.375,81.4,23.43,5.268,75.1,22.92
2010,1,2010-1-1 10:30:00,630,5.702999999999999,61.03,23.03,7.07,57.78,22.5
2010,1,2010-1-1 10:40:00,640,5.026,46.17,22.54,6.617999999999999,43.31,22.05
2010,1,2010-1-1 10:50:00,650,5.138999999999999,40.27,22.23,6.0729999999999995,36.06,21.74
2010,1,2010-1-1 11:00:00,660,5.667000000000001,45.99,22.07,6.796,41.39,21.55
2010,1,2010-1-1 11:10:00,670,4.748,44.12,22.02,5.997000000000001,39.76,21.5
2010,1,2010-1-1 11:20:00,680,4.467,46.11,22.04,5.5729999999999995,41.42,21.5
2010,1,2010-1-1 11:30:00,690,4.465,43.27,22.08,5.297999999999999,40.9,21.52
2010,1,2010-1-1 11:40:00,700,4.648,52.88,22.11,5.416,48.09,21.54
2010,1,2010-1-1 11:50:00,710,3.66,51.82,22.15,3.987,53.35,21.57
2010,1,2010-1-1 12:00:00,720,2.983,68.36,22.35,3.545,63.08,21.71
2010,1,2010-1-1 12:10:00,730,3.68,76.5,22.39,4.015,73.0,21.74
2010,1,2010-1-1 12:20:00,740,3.384,78.4,22.45,4.066,72.4,21.78
2010,1,2010-1-1 12:30:00,750,3.6910000000000003,67.68,22.52,4.041,65.57,21.89
2010,1,2010-1-1 12:40:00,760,3.7460000000000004,82.8,22.65,4.031000000000001,78.9,22.04
2010,1,2010-1-1 12:50:00,770,3.4960000000000004,101.5,22.65,3.8310000000000004,95.2,22.09
2010,1,2010-1-1 13:00:00,780,3.4410000000000003,94.7,22.83,4.039,91.6,22.23
2010,1,2010-1-1 13:10:00,790,4.466,87.2,23.22,5.169,82.0,22.49
2010,1,2010-1-1 13:20:00,800,4.888999999999999,87.7,23.41,5.662999999999999,81.6,22.66
2010,1,2010-1-1 13:30:00,810,4.726,92.4,23.66,5.61,86.9,22.88
2010,1,2010-1-1 13:40:00,820,4.045,98.6,24.17,4.629,92.0,23.45
2010,1,2010-1-1 13:50:00,830,4.033,84.1,24.45,4.544,82.1,23.71
2010,1,2010-1-1 14:00:00,840,3.641,94.9,24.6,4.223,89.3,23.92
2010,1,2010-1-1 14:10:00,850,4.095,87.0,24.99,4.548,80.0,24.32
2010,1,2010-1-1 14:20:00,860,3.657,107.0,25.03,4.365,100.8,24.31
2010,1,2010-1-1 14:30:00,870,4.587,109.7,24.95,5.0169999999999995,105.0,24.31
2010,1,2010-1-1 14:40:00,880,4.579,116.8,24.73,5.316,110.9,24.08
2010,1,2010-1-1 14:50:00,890,4.316,102.9,25.07,4.74,95.8,24.43
2010,1,2010-1-1 15:00:00,900,3.6239999999999997,105.2,25.31,3.9219999999999997,99.3,24.7
2010,1,2010-1-1 15:10:00,910,3.681,106.3,25.34,3.968,100.3,24.73
2010,1,2010-1-1 15:20:00,920,3.2089999999999996,99.0,25.56,3.8680000000000003,94.7,24.89
2010,1,2010-1-1 15:30:00,930,3.305,83.2,25.79,3.7689999999999997,77.1,25.14
2010,1,2010-1-1 15:40:00,940,2.9410000000000003,67.03,25.76,3.4589999999999996,63.15,25.1
2010,1,2010-1-1 15:50:00,950,2.7430000000000003,72.0,25.76,2.975,68.38,25.11
2010,1,2010-1-1 16:00:00,960,2.246,65.64,25.98,2.5989999999999998,63.34,25.26
2010,1,2010-1-1 16:10:00,970,2.89,79.5,25.9,3.237,76.2,25.24
2010,1,2010-1-1 16:20:00,980,2.039,81.3,26.13,2.157,73.1,25.5
2010,1,2010-1-1 16:30:00,990,2.0180000000000002,53.19,26.19,2.388,55.73,25.54
2010,1,2010-1-1 16:40:00,1000,2.006,36.41,26.25,2.28,31.49,25.67
2010,1,2010-1-1 16:50:00,1010,0.929,24.49,26.27,1.232,25.26,25.66
2010,1,2010-1-1 17:00:00,1020,0.688,8.25,26.22,0.758,20.22,25.67
2010,1,2010-1-1 17:10:00,1030,0.778,354.1,26.56,0.74,7.86,25.97
2010,1,2010-1-1 17:20:00,1040,0.9840000000000001,10.49,26.58,1.181,6.774,25.98
2010,1,2010-1-1 17:30:00,1050,1.537,340.5,26.79,1.77,330.3,26.15
2010,1,2010-1-1 17:40:00,1060,2.135,318.2,26.72,2.3409999999999997,321.0,26.06
2010,1,2010-1-1 17:50:00,1070,2.1069999999999998,321.7,26.53,2.135,316.6,25.9
2010,1,2010-1-1 18:00:00,1080,1.4380000000000002,298.2,26.69,1.598,305.2,26.04
2010,1,2010-1-1 18:10:00,1090,1.411,315.5,26.83,1.3519999999999999,314.6,26.26
2010,1,2010-1-1 18:20:00,1100,0.9390000000000001,306.7,26.94,1.196,296.3,26.33
2010,1,2010-1-1 18:30:00,1110,0.83,267.8,26.9,0.669,257.2,26.32
2010,1,2010-1-1 18:40:00,1120,0.371,81.6,27.45,0.358,79.4,26.81
2010,1,2010-1-1 18:50:00,1130,0.363,54.44,27.8,0.054000000000000006,74.2,27.33
2010,1,2010-1-1 19:00:00,1140,0.397,195.2,27.9,0.136,221.4,27.66
2010,1,2010-1-1 19:10:00,1150,0.6859999999999999,3.074,27.8,0.888,10.4,27.15
2010,1,2010-1-1 19:20:00,1160,1.122,346.7,27.77,1.155,350.7,27.09
2010,1,2010-1-1 19:30:00,1170,1.712,340.2,27.27,1.972,334.9,26.68
2010,1,2010-1-1 19:40:00,1180,1.673,343.6,27.07,1.661,339.9,26.53
2010,1,2010-1-1 19:50:00,1190,1.571,345.0,26.94,1.712,339.0,26.42
2010,1,2010-1-1 20:00:00,1200,0.7659999999999999,332.6,26.86,0.9229999999999999,319.7,26.37
2010,1,2010-1-1 20:10:00,1210,0.484,337.9,26.88,0.638,330.4,26.42
2010,1,2010-1-1 20:20:00,1220,0.013000000000000001,336.4,26.91,0.10400000000000001,327.1,26.48
2010,1,2010-1-1 20:30:00,1230,0.15,4.498,26.95,-0.025,327.1,26.52
2010,1,2010-1-1 20:40:00,1240,0.32799999999999996,31.25,26.99,0.35200000000000004,13.13,26.51
2010,1,2010-1-1 20:50:00,1250,0.212,49.21,26.98,0.015,18.79,26.52
2010,1,2010-1-1 21:00:00,1260,0.09,51.88,26.91,-0.008,18.76,26.5
2010,1,2010-1-1 21:10:00,1270,-0.025,38.18,26.85,-0.025,1.401,26.48
2010,1,2010-1-1 21:20:00,1280,-0.055999999999999994,38.27,26.75,-0.025,354.5,26.42
2010,1,2010-1-1 21:30:00,1290,1.595,337.9,26.36,1.925,311.5,26.04
2010,1,2010-1-1 21:40:00,1300,3.588,301.0,24.96,4.667,298.1,24.5
2010,1,2010-1-1 21:50:00,1310,3.6489999999999996,290.6,24.67,5.114,290.0,24.38
2010,1,2010-1-1 22:00:00,1320,3.219,285.2,24.45,4.492,282.2,24.2
2010,1,2010-1-1 22:10:00,1330,3.156,289.6,24.19,4.703,287.8,23.91
2010,1,2010-1-1 22:20:00,1340,3.03,288.6,23.98,4.295,286.0,23.75
2010,1,2010-1-1 22:30:00,1350,2.5860000000000003,296.2,23.81,3.409,290.0,23.48
2010,1,2010-1-1 22:40:00,1360,1.964,288.2,23.65,3.0989999999999998,284.4,23.36
2010,1,2010-1-1 22:50:00,1370,2.106,296.7,23.49,3.237,290.9,23.19
2010,1,2010-1-1 23:00:00,1380,2.79,292.4,23.41,4.281000000000001,286.7,23.21
2010,1,2010-1-1 23:10:00,1390,2.984,285.9,23.09,4.769,281.4,22.99
2010,1,2010-1-1 23:20:00,1400,2.9960000000000004,276.1,22.9,4.875,274.9,22.76
2010,1,2010-1-1 23:30:00,1410,2.276,284.6,22.81,3.875,278.8,22.61
2010,1,2010-1-1 23:40:00,1420,2.799,286.7,22.69,4.206,281.8,22.43
2010,1,2010-1-1 23:50:00,1430,2.826,288.9,22.53,4.1339999999999995,286.2,22.25
2010,2,2010-1-2 00:00:00,0,2.687,284.4,22.39,4.085,283.0,22.13
2010,2,2010-1-2 00:10:00,10,3.255,279.9,22.29,4.78,278.6,22.06
2010,2,2010-1-2 00:20:00,20,3.1630000000000003,276.8,22.19,4.973,276.4,21.97
2010,2,2010-1-2 00:30:00,30,3.326,285.5,22.24,4.865,282.0,21.98
2010,2,2010-1-2 00:40:00,40,3.0669999999999997,276.9,22.27,4.5760000000000005,277.9,21.98
2010,2,2010-1-2 00:50:00,50,2.7689999999999997,277.4,22.2,4.17,275.8,21.88
2010,2,2010-1-2 01:00:00,60,2.8539999999999996,282.9,22.1,4.173,277.9,21.77
2010,2,2010-1-2 01:10:00,70,2.844,283.0,21.96,4.167,275.8,21.63
2010,2,2010-1-2 01:20:00,80,2.533,294.2,21.82,3.878,284.6,21.53
2010,2,2010-1-2 01:30:00,90,3.056,299.0,21.78,4.4830000000000005,289.8,21.57
2010,2,2010-1-2 01:40:00,100,2.8360000000000003,298.3,21.66,4.513,290.0,21.55
2010,2,2010-1-2 01:50:00,110,2.577,303.0,21.64,3.977,294.4,21.49
2010,2,2010-1-2 02:00:00,120,2.2359999999999998,297.8,21.63,3.6010000000000004,292.6,21.38
2010,2,2010-1-2 02:10:00,130,2.063,285.9,21.62,3.6689999999999996,284.8,21.42
2010,2,2010-1-2 02:20:00,140,2.648,276.5,21.65,4.194,276.9,21.46
2010,2,2010-1-2 02:30:00,150,2.5540000000000003,301.2,21.72,4.104,289.4,21.57
2010,2,2010-1-2 02:40:00,160,2.326,297.4,21.92,3.7510000000000003,289.0,21.72
2010,2,2010-1-2 02:50:00,170,2.195,318.9,21.93,3.1910000000000003,303.3,21.67
2010,2,2010-1-2 03:00:00,180,2.127,315.0,21.85,3.178,304.1,21.58
2010,2,2010-1-2 03:10:00,190,1.726,324.6,21.66,2.833,313.5,21.43
2010,2,2010-1-2 03:20:00,200,1.55,334.7,21.55,2.508,315.7,21.33
2010,2,2010-1-2 03:30:00,210,2.0,304.8,21.58,3.102,299.8,21.35
